student_id,academic_year,online_access_count,test_scores,project_grades,assignment_completion,final_points,final_grade,graduate,semester,engagement_score
43,2019,4,9.0,12.33,16.75,12.103,C,1,1,0.458775133
44,2021,6,14.95,14.45,12.43,14.145,B,0,1,0.370798034
45,2023,4,12.99,17.02,14.28,14.723,B,1,1,0.397124165
46,2021,2,13.14,17.58,14.81,15.1115,B,1,2,0.390346686
47,2021,0,15.57,19.23,14.35,16.546,B,0,2,0.358740322
48,2019,5,16.76,15.26,13.08,15.315,B,1,1,0.376996009
49,2019,8,12.57,14.26,13.31,13.3465,C,1,1,0.412634673
50,2019,4,14.89,16.49,14.45,15.34,B,1,1,0.401279842
51,2020,5,18.74,16.87,18.75,18.088,A,1,2,0.518669291
52,2020,4,15.42,18.99,17.53,17.197,A,1,2,0.478156506
53,2023,6,11.58,17.72,14.59,14.4815,B,1,1,0.424800205
54,2022,8,8.62,14.29,18.95,13.187,C,1,1,0.553865909
55,2021,2,14.36,19.8,16.87,16.8915,B,1,1,0.44175757
56,2020,13,14.3,12.62,15.77,14.0795,B,1,2,0.524263473
57,2020,4,13.75,15.56,14.62,14.601,B,1,2,0.405589325
58,2023,20,13.18,16.51,13.65,14.463,B,1,1,0.541134349
59,2019,4,18.5,17.25,14.44,17.0475,A,1,1,0.401042208
60,2020,7,12.0,14.64,18.18,14.469,B,1,2,0.524501931
61,2019,6,13.27,19.53,12.16,15.1835,B,1,1,0.364107476
62,2019,2,12.19,17.04,15.96,14.83,B,1,1,0.418947839
63,2019,7,17.33,13.85,14.42,15.3845,B,1,1,0.430545927
64,2023,9,17.01,16.44,12.94,15.793,B,1,1,0.413580676
65,2022,5,13.28,14.69,17.05,14.716,B,1,1,0.476164655
66,2021,1,14.26,19.39,16.17,16.533,B,1,2,0.414307052
67,2021,11,13.78,17.81,14.07,15.263,B,1,2,0.461750035
68,2021,3,15.86,16.04,17.42,16.313,B,1,2,0.465496523
69,2022,2,8.64,17.83,15.99,13.694,C,1,2,0.419711577
70,2019,6,15.85,12.68,9.61,13.1805,C,0,1,0.300134056
71,2019,5,15.23,13.03,16.33,14.735,B,1,1,0.458323595
72,2021,4,16.48,17.67,19.16,17.5665,A,1,1,0.518957406
73,2020,4,16.53,17.65,16.38,16.8845,B,0,1,0.449392502
74,2021,5,16.74,18.67,15.74,17.1655,A,1,1,0.443520166
75,2020,2,12.88,14.97,15.82,14.3465,B,1,2,0.415509469
76,2020,6,12.88,17.57,13.65,14.714,B,1,1,0.401192849
77,2023,10,16.9,15.55,10.54,14.8375,B,1,2,0.363546745
78,2021,11,18.01,18.74,16.42,17.868,A,1,1,0.520514087
79,2022,4,17.9,16.14,18.43,17.4165,A,1,1,0.500835655
80,2022,9,11.33,16.11,16.64,14.3305,B,1,1,0.505914672
81,2022,3,12.95,15.33,18.29,15.118,B,1,1,0.487278317
82,2019,5,13.38,14.66,17.68,14.903,B,1,1,0.491993316
83,2019,9,16.91,15.49,16.02,16.1905,B,1,1,0.490502108
84,2021,5,12.5,17.05,12.64,14.1275,B,1,2,0.365934102
85,2023,6,13.38,17.46,14.55,15.1005,B,1,2,0.423711445
86,2022,6,13.87,17.81,15.86,15.7465,B,1,2,0.4565823
87,2021,12,14.0,17.39,18.37,16.279,B,1,2,0.57929727
88,2020,1,13.93,15.39,15.73,14.891,B,1,2,0.403237962
89,2021,0,13.08,12.87,17.77,14.179,B,1,1,0.444272967
90,2020,3,12.04,18.14,17.12,15.445,B,1,1,0.458077179
91,2021,9,15.23,15.57,18.93,16.274,B,1,1,0.563298333
92,2020,12,19.63,11.51,16.88,16.1005,B,1,1,0.541946312
93,2019,5,16.43,20.0,18.24,18.132,A,1,1,0.506023039
94,2019,3,14.7,13.5,16.93,14.8375,B,1,1,0.453297907
95,2020,1,17.03,16.6,13.43,15.9795,B,1,1,0.345677197
96,2019,3,16.63,19.74,14.02,17.066,A,1,1,0.380482576
97,2023,9,18.48,16.84,15.18,17.081,A,0,1,0.469394746
98,2021,3,11.58,12.58,16.53,13.1675,C,1,2,0.443342555
99,2022,6,8.81,18.1,18.19,14.4065,B,1,1,0.514824352
100,2023,7,10.69,18.68,17.55,15.2015,B,1,2,0.508868712
101,2021,2,13.97,18.68,18.9,16.851,B,1,1,0.492540091
102,2022,6,20.0,16.17,10.06,16.1745,B,1,1,0.311602433
103,2022,5,18.37,18.01,16.62,17.8065,A,1,1,0.465528622
104,2021,4,12.59,19.67,16.49,16.043,B,1,1,0.452171693
105,2023,0,14.37,15.5,14.28,14.743,B,1,2,0.35695421
106,2020,8,17.65,17.79,16.47,17.404,A,1,1,0.491781725
107,2021,3,14.25,15.65,18.38,15.7725,B,1,1,0.489410026
108,2019,2,14.71,13.51,18.66,15.2775,B,0,2,0.486472738
109,2020,8,13.73,17.57,15.48,15.5115,B,1,2,0.466886489
110,2022,7,16.11,20.0,13.95,16.9315,B,1,2,0.418639648
111,2023,4,13.97,12.54,15.0,13.727,C,1,2,0.414972313
112,2019,6,15.67,11.87,16.83,14.63,B,1,2,0.480646946
113,2020,3,15.0,13.89,19.19,15.659,B,1,2,0.509819219
114,2023,5,7.22,17.31,16.19,12.994,C,1,2,0.454708415
115,2020,0,16.29,19.9,16.45,17.5935,A,0,1,0.411303534
116,2022,4,10.34,12.86,16.94,12.872,C,1,2,0.463620405
117,2023,3,16.8,19.23,17.3,17.7755,A,1,2,0.462401772
118,2019,7,14.32,20.0,14.13,16.2605,B,1,1,0.423318437
119,2021,8,15.96,13.83,18.49,15.847,B,1,1,0.542374455
120,2021,5,19.0,13.85,10.04,14.9575,B,1,2,0.301012999
121,2021,7,14.56,17.45,16.85,16.144,B,1,1,0.491347338
122,2021,1,17.77,18.0,19.24,18.218,A,1,2,0.49108799
123,2021,8,15.24,20.0,15.42,16.951,B,1,1,0.465557427
124,2022,2,15.61,14.81,15.65,15.34,B,1,2,0.411146817
125,2022,1,17.44,17.88,18.7,17.909,A,1,1,0.477514425
126,2020,5,12.2,15.03,17.85,14.603,B,1,2,0.496219637
127,2022,8,12.19,17.28,16.59,15.0715,B,1,2,0.494680627
128,2020,6,14.64,16.79,17.84,16.1925,B,1,2,0.50601803
129,2020,4,9.83,14.88,13.83,12.5975,C,0,1,0.385717328
130,2020,4,11.77,17.38,15.42,14.646,B,1,1,0.425388943
131,2022,2,19.35,17.46,16.47,17.9685,A,1,1,0.431815716
132,2019,3,13.04,13.67,14.43,13.608,C,1,2,0.390720447
133,2019,5,14.01,16.24,19.93,16.2705,B,1,2,0.548246677
134,2020,7,14.0,18.28,17.8,16.448,B,1,2,0.514890587
135,2022,5,19.47,11.97,17.29,16.3,B,0,1,0.482214947
136,2021,4,20.0,17.19,17.57,18.409,A,1,1,0.4791643
137,2023,3,18.41,13.97,12.79,15.451,B,1,2,0.349786642
138,2019,4,11.28,17.5,19.63,15.5445,B,1,1,0.530761281
139,2022,10,11.32,17.25,18.89,15.288,B,0,2,0.572319841
140,2023,4,18.18,14.04,14.06,15.701,B,1,2,0.39162108
141,2019,11,17.82,14.94,12.29,15.4295,B,0,1,0.417223178
142,2023,3,17.55,12.27,16.42,15.4195,B,0,1,0.440449991
143,2021,7,18.42,14.41,15.47,16.279,B,1,1,0.456856365
144,2022,4,15.08,14.8,17.91,15.6895,B,1,1,0.487757473
145,2020,2,11.96,17.68,16.7,15.147,B,1,1,0.43757328
146,2020,1,17.76,19.84,18.85,18.7605,A,1,1,0.481297839
147,2023,1,15.62,18.36,14.43,16.2815,B,1,1,0.370684462
148,2023,3,16.52,13.21,16.44,15.3415,B,1,2,0.440973085
149,2019,2,17.79,17.48,17.71,17.6615,A,1,2,0.462720064
150,2019,2,16.31,17.63,14.47,16.312,B,1,2,0.381810075
151,2020,13,15.32,13.9,19.35,15.8305,B,1,2,0.613686763
152,2023,3,19.84,16.96,17.09,18.1445,A,1,1,0.457273475
153,2021,6,13.54,11.58,15.28,13.289,C,1,2,0.441922097
154,2020,2,16.16,17.16,18.24,17.03,A,1,1,0.476013918
155,2019,3,12.72,12.49,12.61,12.612,C,1,1,0.345130895
156,2019,0,8.27,16.84,17.82,13.657,C,1,2,0.445496781
157,2020,2,15.95,18.52,16.13,16.8945,B,1,1,0.423290727
158,2023,9,19.89,15.36,13.36,16.672,B,0,1,0.423939304
159,2021,3,18.54,9.51,17.63,15.152,B,1,2,0.470780863
160,2020,8,17.48,16.64,16.31,16.8935,B,1,2,0.487640991
161,2022,3,17.86,17.11,18.08,17.6525,A,1,1,0.481938819
162,2022,2,20.0,14.4,14.96,16.78,B,1,1,0.394036097
163,2019,3,9.16,18.14,13.79,13.4605,C,1,1,0.374743147
164,2020,3,19.29,12.88,15.15,16.0115,B,1,1,0.408832924
165,2019,11,11.32,19.97,15.58,15.4125,B,1,2,0.49950273
166,2023,2,14.79,11.22,10.05,12.3555,C,1,1,0.271172394
167,2020,7,16.99,14.89,16.64,16.1675,B,1,1,0.485897679
168,2023,6,19.5,10.13,17.36,15.6855,B,1,2,0.494122882
169,2019,5,19.58,15.57,18.28,17.8515,A,1,2,0.507099365
170,2021,4,14.5,15.45,19.16,15.9975,B,1,2,0.51911591
171,2022,2,9.85,13.45,14.99,12.395,C,0,1,0.394690458
172,2019,2,14.08,19.87,17.92,17.0665,A,1,1,0.468118577
173,2019,4,15.8,16.76,11.77,15.1285,B,1,2,0.334350624
174,2022,0,17.06,13.62,12.4,14.691,B,1,1,0.309899608
175,2023,3,13.19,20.0,17.67,16.6935,B,0,1,0.471780191
176,2020,2,9.97,14.24,18.58,13.617,C,1,2,0.484569271
177,2020,3,16.85,15.85,19.13,17.07,A,0,1,0.508240042
178,2021,8,16.04,14.98,15.2,15.459,B,1,2,0.459931903
179,2022,4,10.29,10.13,9.31,9.989,D,0,1,0.272772435
180,2020,4,14.91,18.06,14.17,15.8275,B,1,1,0.394351721
181,2020,7,12.98,14.82,15.47,14.2465,B,1,1,0.456844973
182,2019,4,18.33,16.48,14.81,16.8025,B,1,2,0.410353967
183,2019,2,17.62,14.72,16.8,16.4,B,1,1,0.439979075
184,2023,2,17.92,19.43,16.68,18.1385,A,1,1,0.436916388
185,2021,5,17.44,12.78,12.89,14.6715,B,1,2,0.372136466
186,2021,16,20.0,16.63,19.38,18.6655,A,1,1,0.644499292
187,2020,1,18.81,17.67,17.93,18.191,A,1,2,0.458168428
188,2022,1,15.7,15.71,18.4,16.3785,B,1,2,0.470028697
189,2023,6,16.44,14.98,16.87,16.0365,B,1,2,0.481784036
190,2019,8,10.45,15.54,19.22,14.424,B,1,2,0.56055379
191,2022,5,15.09,15.89,13.7,15.0225,B,1,1,0.392390755
192,2023,2,8.56,15.62,17.9,13.366,C,1,2,0.467410213
193,2022,4,15.67,12.11,19.49,15.379,B,1,1,0.52723884
194,2021,7,15.07,18.59,11.93,15.517,B,1,1,0.368195182
195,2020,7,11.84,13.95,15.85,13.581,C,1,1,0.466155552
196,2019,3,14.21,14.79,13.57,14.253,B,1,1,0.369258412
197,2021,9,17.76,14.77,12.67,15.441,B,0,1,0.406767475
198,2019,4,15.1,14.62,18.57,15.7995,B,1,1,0.504248107
199,2021,2,10.94,13.61,17.54,13.5245,C,0,1,0.458394923
200,2022,4,12.53,15.63,14.15,14.02,B,1,2,0.393672952
201,2023,7,15.65,13.37,18.21,15.492,B,1,2,0.525181611
202,2021,5,16.73,16.76,16.91,16.7855,B,0,1,0.472767857
203,2022,11,18.95,14.0,12.46,15.595,B,1,1,0.421400141
204,2023,7,17.61,18.19,13.28,16.7305,B,0,1,0.401969902
205,2021,5,17.12,18.74,14.84,17.117,A,0,2,0.42098357
206,2021,1,17.18,16.49,9.09,14.916,B,1,1,0.237151452
207,2022,7,19.85,17.23,15.03,17.728,A,1,2,0.445654049
208,2022,1,16.19,17.99,12.63,15.93,B,1,1,0.325827548
209,2023,7,15.52,13.67,18.98,15.7375,B,1,2,0.544487184
210,2020,7,16.95,12.11,18.51,15.646,B,1,1,0.532798535
211,2023,9,17.28,12.13,16.76,15.3475,B,1,1,0.509055744
212,2023,11,12.75,17.14,13.61,14.5015,B,1,1,0.450356326
213,2021,6,14.08,13.15,18.22,14.7895,B,1,2,0.515537576
214,2023,12,13.97,13.48,17.0,14.556,B,1,1,0.544989134
215,2023,4,8.38,18.14,19.67,14.6185,B,1,2,0.531784597
216,2022,6,20.0,15.44,16.05,17.4165,A,1,1,0.461242512
217,2019,1,18.44,18.89,18.23,18.545,A,0,1,0.465670664
218,2023,3,14.97,16.37,17.28,16.0375,B,1,1,0.461994517
219,2023,4,14.33,17.15,18.39,16.332,B,1,2,0.499842375
220,2021,9,14.46,16.3,14.42,15.094,B,1,2,0.450462742
221,2019,9,18.33,14.15,12.1,15.3095,B,1,2,0.392494429
222,2020,9,15.67,13.63,18.12,15.5685,B,1,2,0.542878109
223,2023,7,14.41,11.65,13.67,13.259,C,1,1,0.411763605
224,2023,4,13.78,13.72,10.18,12.859,C,1,1,0.294513909
225,2019,12,19.76,10.06,15.49,15.2975,B,1,2,0.507230357
226,2021,7,18.57,11.79,14.93,15.287,B,0,1,0.443125729
227,2022,6,13.26,15.83,15.28,14.6645,B,0,2,0.442056274
228,2022,5,10.59,16.7,16.76,14.271,B,1,1,0.468975273
229,2020,7,8.84,12.65,14.37,11.556,C,1,2,0.429347799
230,2022,0,18.28,17.29,19.56,18.2535,A,0,1,0.489044199
231,2022,3,17.97,17.05,15.2,16.9555,B,1,1,0.410026405
232,2020,8,13.7,16.36,19.23,16.0135,B,1,2,0.560866349
233,2022,2,12.44,13.24,13.23,12.9175,C,1,2,0.350805704
234,2023,1,16.78,18.77,14.27,16.849,B,1,1,0.366657002
235,2023,3,11.45,13.38,18.04,13.773,C,0,1,0.480922491
236,2019,8,14.52,16.1,17.91,15.9205,B,0,1,0.527830981
237,2022,4,12.5,14.49,18.76,14.7615,B,1,2,0.509095758
238,2019,4,10.58,18.51,19.51,15.588,B,1,2,0.52780792
239,2019,11,11.79,15.46,14.69,13.7995,C,0,2,0.477125934
240,2020,12,15.17,13.55,12.11,13.838,C,1,1,0.422844959
241,2019,1,14.92,18.18,18.7,17.006,A,1,1,0.477444289
242,2021,4,17.82,14.75,17.62,16.6955,B,1,1,0.480519638
243,2020,8,17.08,16.89,13.14,16.0285,B,1,1,0.40859322
244,2022,1,17.3,16.32,16.14,16.667,B,1,1,0.413431193
245,2019,7,12.28,17.68,15.62,15.005,B,1,2,0.460595097
246,2019,10,10.17,12.97,16.45,12.72,C,1,2,0.51124918
247,2021,4,14.96,16.9,18.79,16.5965,B,1,2,0.509764174
248,2021,2,18.53,15.47,11.63,15.734,B,1,1,0.310851068
249,2020,7,16.65,15.25,16.47,16.115,B,1,2,0.481835542
250,2020,2,15.05,10.43,12.79,12.868,C,1,1,0.339637435
251,2019,7,19.96,18.43,19.31,19.262,A,1,2,0.552765639
252,2023,4,13.52,15.63,17.68,15.2985,B,0,1,0.482056904
253,2022,3,17.0,12.35,17.36,15.4625,B,1,1,0.464017771
254,2022,4,20.0,16.6,15.25,17.6225,A,1,2,0.421370309
255,2020,11,16.84,19.89,18.43,18.305,A,0,2,0.570729162
256,2021,1,16.1,15.4,18.71,16.5075,B,1,2,0.47779249
257,2023,4,15.43,12.11,14.4,14.0105,B,1,1,0.400120954
258,2023,9,11.99,16.87,16.78,14.8955,B,1,1,0.509546196
259,2020,4,11.28,14.69,15.0,13.4035,C,1,1,0.415002738
260,2023,6,12.15,14.07,17.98,14.2795,B,0,2,0.509445707
261,2021,3,7.99,16.4,14.93,12.6685,C,1,1,0.403202045
262,2020,3,19.99,17.45,14.3,17.6785,A,1,1,0.387494417
263,2020,2,18.08,17.11,15.13,17.003,A,1,1,0.398275844
264,2021,2,17.74,16.33,16.0,16.8115,B,1,2,0.420051865
265,2020,2,19.08,18.73,15.73,18.12,A,0,2,0.413200263
266,2021,6,15.47,18.79,17.73,17.197,A,1,2,0.503193207
267,2022,1,16.2,16.04,17.84,16.554,B,0,2,0.456098797
268,2022,5,15.53,17.12,18.49,16.8265,B,1,1,0.512160481
269,2023,11,13.04,17.39,13.2,14.6025,B,1,2,0.440060396
270,2019,3,13.38,14.78,16.44,14.635,B,1,2,0.440985229
271,2023,2,16.65,15.03,15.68,15.8405,B,0,1,0.411877012
272,2020,3,10.87,19.46,17.79,15.6065,B,1,2,0.474741893
273,2020,4,11.08,15.98,18.13,14.5575,B,0,1,0.493340819
274,2022,4,15.83,14.81,17.39,15.863,B,1,2,0.474856788
275,2021,4,17.74,12.07,17.79,15.768,B,1,2,0.484643336
276,2019,6,15.5,18.63,17.44,17.0805,A,1,1,0.495954249
277,2021,5,12.23,12.01,11.75,12.033,C,1,2,0.343721901
278,2020,7,16.11,15.77,17.32,16.2935,B,1,2,0.503088832
279,2023,2,12.34,18.44,18.04,15.9,B,1,2,0.470922137
280,2023,9,12.83,16.11,18.03,15.278,B,1,1,0.540850886
281,2023,4,12.49,12.98,19.06,14.304,B,1,2,0.516607547
282,2022,2,15.63,13.23,16.28,14.9525,B,1,2,0.427070322
283,2020,11,13.44,12.95,15.93,13.891,C,1,1,0.508324908
284,2023,5,12.4,15.79,16.08,14.5065,B,1,2,0.451884789
285,2020,3,19.72,15.6,19.31,18.1755,A,1,1,0.51267625
286,2022,8,14.4,18.13,17.34,16.4405,B,1,1,0.513549336
287,2019,10,15.6,20.0,17.6,17.64,A,0,1,0.539998129
288,2022,1,12.44,19.92,16.61,16.1005,B,1,2,0.425150289
289,2021,3,14.39,15.1,19.71,15.9685,B,1,2,0.522632315
290,2019,3,11.8,15.37,14.2,13.6495,C,1,1,0.384963484
291,2023,5,16.48,16.01,12.89,15.418,B,1,1,0.372204113
292,2023,3,15.01,15.21,19.25,16.14,B,1,2,0.511232252
293,2021,8,14.78,18.87,18.94,17.2515,A,0,1,0.553394511
294,2019,4,15.75,14.32,16.57,15.4545,B,1,2,0.454332822
295,2021,14,19.57,13.02,18.14,16.92,B,1,1,0.593585788
296,2021,2,11.36,15.16,17.79,14.2975,B,1,2,0.464873854
297,2023,10,12.44,14.28,16.56,14.114,B,1,1,0.513935578
298,2022,2,15.7,12.03,14.81,14.193,B,1,1,0.390221359
299,2021,7,14.3,14.81,17.65,15.316,B,0,1,0.511172089
300,2020,2,13.37,15.87,14.7,14.5775,B,1,2,0.387443738
301,2019,1,16.98,15.28,13.41,15.4925,B,1,1,0.345201476
302,2019,3,12.65,15.14,18.27,14.9265,B,1,2,0.486865867
303,2022,4,19.92,14.93,18.65,17.856,A,1,1,0.506234128
304,2020,4,15.34,20.0,13.6,16.536,B,1,2,0.380046595
305,2021,5,10.41,13.01,10.05,11.23,C,1,2,0.301137659
306,2022,3,13.8,14.92,16.38,14.837,B,1,1,0.439562639
307,2022,7,16.27,18.11,17.63,17.254,A,1,1,0.510762351
308,2020,1,13.46,16.26,12.27,14.1425,B,1,1,0.316802522
309,2020,2,16.79,17.11,14.31,16.282,B,1,1,0.377806309
310,2020,11,11.42,15.19,17.86,14.3495,B,0,2,0.556550077
311,2019,3,13.27,15.62,14.39,14.3725,B,1,2,0.389631787
312,2022,6,13.29,15.11,17.53,14.987,B,1,2,0.498188229
313,2023,5,15.74,17.31,15.33,16.187,B,0,2,0.433335046
314,2021,2,20.0,18.42,18.15,18.9845,A,0,2,0.473726002
315,2022,4,14.12,14.46,19.67,15.6265,B,1,2,0.531628097
316,2023,4,18.41,16.32,15.68,16.996,B,1,1,0.432046572
317,2020,3,13.94,13.21,17.96,14.6895,B,0,1,0.479040834
318,2019,2,17.85,12.68,15.34,15.413,B,1,1,0.403461107
319,2019,3,12.0,19.99,16.18,15.8415,B,1,1,0.434522884
320,2021,3,17.5,14.24,15.36,15.824,B,1,1,0.414019221
321,2020,3,13.71,17.07,17.37,15.801,B,1,1,0.46430923
322,2019,10,14.14,16.85,14.14,15.0885,B,1,2,0.453624308
323,2022,7,17.39,20.0,17.29,18.2785,A,1,2,0.502219495
324,2020,7,11.67,11.54,15.6,12.607,C,1,1,0.460059112
325,2021,4,19.11,18.6,14.07,17.6715,A,1,1,0.391701391
326,2022,3,14.87,16.87,17.48,16.2225,B,1,1,0.466988988
327,2021,6,14.84,12.56,17.59,14.7295,B,1,1,0.499874353
328,2019,0,11.79,18.26,12.99,14.3545,B,1,2,0.324859994
329,2022,8,12.79,15.83,19.61,15.559,B,1,1,0.570269395
330,2019,7,15.78,20.0,16.84,17.522,A,0,1,0.49095277
331,2021,5,20.0,16.3,12.03,16.7125,B,1,1,0.350653073
332,2023,5,19.17,15.39,14.82,16.7595,B,1,1,0.420395414
333,2023,4,11.08,19.29,15.48,15.0535,B,1,1,0.426974459
334,2021,19,10.8,14.96,12.29,12.6285,C,1,1,0.497294667
335,2023,8,11.35,16.64,13.0,13.614,C,1,1,0.404981253
336,2022,8,14.33,16.58,15.57,15.4275,B,0,1,0.469209681
337,2022,5,14.79,20.0,19.38,17.761,A,1,1,0.534451957
338,2022,4,8.01,13.06,11.49,10.6475,D,1,1,0.327310252
339,2022,6,19.42,10.6,15.67,15.3955,B,0,1,0.451656699
340,2021,3,17.47,12.28,12.71,14.4635,B,1,1,0.347772636
341,2019,2,11.23,16.93,18.5,15.0425,B,1,2,0.482618217
342,2021,4,11.59,14.71,19.2,14.5845,B,1,2,0.520059991
343,2023,7,18.71,18.21,16.18,17.9025,A,1,2,0.474412908
344,2021,4,10.31,16.06,18.25,14.3075,B,0,2,0.496254728
345,2023,7,18.18,20.0,17.37,18.6145,A,0,1,0.504169168
346,2020,4,15.31,11.86,15.68,14.195,B,1,2,0.432067273
347,2019,13,16.09,16.43,16.38,16.2815,B,1,1,0.539557075
348,2020,5,20.0,16.62,15.23,17.6245,A,1,1,0.430823041
349,2022,2,15.26,12.18,13.07,13.6345,C,1,1,0.34665579
350,2022,10,13.56,12.14,17.49,14.0455,B,1,1,0.53728629
351,2022,3,16.06,14.74,18.51,16.2105,B,1,1,0.4928074
352,2019,3,14.33,15.43,15.55,15.02,B,1,1,0.418798952
353,2022,5,7.09,17.08,13.03,12.0715,C,1,2,0.375803735
354,2019,2,12.11,17.13,17.73,15.272,B,1,1,0.463314799
355,2021,10,18.68,17.23,16.36,17.5925,A,1,2,0.509047353
356,2021,12,18.38,17.36,14.07,16.9455,B,0,2,0.471772432
357,2023,12,15.57,16.96,19.48,17.034,A,1,2,0.607064418
358,2023,6,10.68,15.52,17.75,14.1415,B,1,2,0.503807699
359,2022,6,12.4,14.99,18.21,14.759,B,0,2,0.515167925
360,2019,3,15.38,15.64,18.81,16.3285,B,1,2,0.500207678
361,2023,5,18.34,20.0,17.82,18.791,A,1,1,0.495385449
362,2022,2,17.04,14.9,5.17,13.3235,C,0,1,0.149155519
363,2021,5,16.62,15.33,12.22,15.0685,B,1,2,0.355416678
364,2023,7,11.36,13.82,18.07,13.8985,C,1,2,0.521679738
365,2021,1,17.96,17.74,15.76,17.333,A,1,2,0.404111806
366,2021,6,16.8,11.63,18.59,15.438,B,1,1,0.524799203
367,2021,2,10.15,14.93,16.0,13.2855,C,1,2,0.420030538
368,2023,4,13.82,15.56,18.07,15.4915,B,1,1,0.491763079
369,2019,4,12.63,20.0,19.27,16.8695,B,0,2,0.521820395
370,2020,6,12.08,14.1,14.21,13.3195,C,1,1,0.41536923
371,2020,3,17.07,8.62,17.94,14.33,B,0,2,0.478538198
372,2023,15,20.0,20.0,14.6,18.65,A,1,1,0.51510011
373,2021,9,12.39,10.02,15.64,12.373,C,1,2,0.481025644
374,2021,4,17.08,16.63,13.9,16.1275,B,1,2,0.387435617
375,2021,4,18.17,14.8,16.55,16.5855,B,0,2,0.453655008
376,2021,7,16.58,18.7,14.4,16.777,B,0,2,0.429934303
377,2023,3,9.57,13.52,14.99,12.3075,C,1,2,0.404802785
378,2019,6,15.19,19.16,15.89,16.7545,B,1,2,0.457220014
379,2023,6,8.25,17.17,13.49,12.682,C,1,1,0.39731811
380,2021,4,13.07,19.15,13.96,15.4205,B,1,2,0.389055246
381,2022,9,19.53,17.86,16.68,18.233,A,1,2,0.507072559
382,2020,12,15.48,14.07,17.86,15.5815,B,0,1,0.566483536
383,2022,8,11.97,13.69,15.26,13.3945,C,1,2,0.461563491
384,2023,11,15.64,19.23,7.43,14.844,B,1,1,0.295712997
385,2019,5,16.63,18.0,7.58,14.847,B,1,2,0.239405112
386,2020,1,17.66,17.88,14.83,17.0295,A,1,1,0.380729389
387,2019,1,12.84,15.24,16.41,14.5725,B,1,1,0.420145279
388,2021,7,12.08,16.71,12.6,13.8305,C,0,1,0.385105441
389,2019,2,13.21,20.0,16.51,16.4115,B,1,1,0.432668099
390,2023,9,17.76,18.13,17.53,17.832,A,1,2,0.528177947
